simulation_name,num_simulations,elapsed_time,netowrk_model,number_of_nodes,number_of_edges,density,diameter,radius,gamma,beta,tmax,R0,average_degree,average_shortest_path,iteration_number,node,S,I,R,max_infection_time,max_infection_len,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,clustering_coefficient
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,28,1155,1445,0,1,0,1,0.05329,0.51132,0.00073,0.02473,0.05776
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,27,728,0,90,1356,1497,1352,0.05675,0.51241,0.00044,0.0261,0.06504
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,26,636,0,76,1370,1476,1365,0.06367,0.51478,0.00103,0.0293,0.05518
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,25,349,0,80,1366,1492,1347,0.05467,0.51223,0.0006,0.02474,0.06005
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,24,404,0,73,1373,1528,1343,0.05467,0.51223,0.00041,0.02526,0.05063
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,23,387,0,84,1362,1483,1360,0.06782,0.51626,0.00115,0.03105,0.05639
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,22,516,0,87,1359,1479,1354,0.04567,0.50542,0.00023,0.02069,0.06247
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,21,101,0,78,1368,1494,1353,0.05121,0.50898,0.00048,0.02308,0.04998
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,20,412,0,86,1360,1514,1349,0.06644,0.51644,0.00129,0.03,0.0568
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,19,197,0,71,1375,1502,1349,0.06505,0.51644,0.00083,0.03013,0.05697
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,18,1019,0,75,1371,1483,1346,0.04983,0.50666,0.00091,0.0228,0.06651
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,17,411,0,81,1365,1514,1357,0.06228,0.51534,0.0005,0.02869,0.05343
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,16,530,0,66,1380,1508,1343,0.07059,0.51755,0.00122,0.03205,0.05494
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,15,247,0,80,1366,1539,1332,0.05467,0.51114,0.00044,0.02502,0.05777
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,14,988,0,75,1371,1498,1359,0.05813,0.51314,0.00061,0.02657,0.05622
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,13,597,0,89,1357,1483,1358,0.05467,0.51241,0.00051,0.02483,0.05615
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,12,1241,0,81,1365,1485,1358,0.06436,0.51607,0.001,0.02966,0.0561
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,11,646,0,91,1355,1490,1357,0.05329,0.51205,0.00033,0.02481,0.05707
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,10,1138,0,62,1384,1512,1355,0.05606,0.51078,0.00026,0.02511,0.05432
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,9,804,0,90,1356,1519,1350,0.05952,0.51405,0.00096,0.02773,0.05527
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,8,1333,0,73,1373,1516,1349,0.06367,0.5157,0.00096,0.02968,0.05853
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,7,797,0,64,1382,1522,1341,0.05467,0.51096,0.0006,0.02498,0.05615
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,6,940,0,86,1360,1526,1351,0.0526,0.50952,0.00048,0.02402,0.06281
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,5,460,0,90,1356,1473,1366,0.05882,0.5135,0.00047,0.02723,0.06303
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,4,375,0,67,1379,1509,1348,0.0526,0.51042,0.00051,0.02434,0.05895
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,3,426,0,84,1362,1462,1351,0.04706,0.50595,0.00061,0.0213,0.05575
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,2,288,0,73,1373,1516,1355,0.06436,0.5157,0.00049,0.02963,0.05727
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,1,142,0,87,1359,1511,1352,0.05398,0.51187,0.00085,0.02509,0.06027
Ego-01-Haverford76-barabasi_albert,50,1253.21632,barabasi_albert,1446,58968,0.05644,3,2,0.3,0.3,10,,81.56017,1.96932,50,1185,0,79,1367,1538,1313,0.03183,0.49691,0.00019,0.01277,0.14106
Ego-01-Haverford76-barabasi_albert,50,1253.21632,barabasi_albert,1446,58968,0.05644,3,2,0.3,0.3,10,,81.56017,1.96932,49,172,0,78,1368,1512,1327,0.10519,0.52756,0.00119,0.03793,0.10457
Ego-01-Haverford76-barabasi_albert,50,1253.21632,barabasi_albert,1446,58968,0.05644,3,2,0.3,0.3,10,,81.56017,1.96932,48,1050,0,85,1361,1512,1335,0.03529,0.49845,0.0002,0.01325,0.11843
Ego-01-Haverford76-barabasi_albert,50,1253.21632,barabasi_albert,1446,58968,0.05644,3,2,0.3,0.3,10,,81.56017,1.96932,47,763,0,72,1374,1480,1311,0.04083,0.50087,0.00036,0.01303,0.07949
Ego-01-Haverford76-barabasi_albert,50,1253.21632,barabasi_albert,1446,58968,0.05644,3,2,0.3,0.3,10,,81.56017,1.96932,46,1445,0,73,1373,1506,1319,0.02907,0.49486,9e-05,0.01234,0.16028
Ego-01-Haverford76-barabasi_albert,50,1253.21632,barabasi_albert,1446,58968,0.05644,3,2,0.3,0.3,10,,81.56017,1.96932,45,1162,0,99,1347,1510,1327,0.03322,0.49793,9e-05,0.01238,0.14096
Ego-01-Haverford76-barabasi_albert,50,1253.21632,barabasi_albert,1446,58968,0.05644,3,2,0.3,0.3,10,,81.56017,1.96932,44,197,0,79,1367,1516,1337,0.10035,0.52622,0.00278,0.03684,0.10862
Ego-01-Haverford76-barabasi_albert,50,1253.21632,barabasi_albert,1446,58968,0.05644,3,2,0.3,0.3,10,,81.56017,1.96932,43,1413,0,91,1355,1525,1320,0.02907,0.48917,0.00018,0.01025,0.09059
Ego-01-Haverford76-barabasi_albert,50,1253.21632,barabasi_albert,1446,58968,0.05644,3,2,0.3,0.3,10,,81.56017,1.96932,42,491,0,82,1364,1491,1338,0.06505,0.5157,0.00056,0.0217,0.09288
Ego-01-Haverford76-barabasi_albert,50,1253.21632,barabasi_albert,1446,58968,0.05644,3,2,0.3,0.3,10,,81.56017,1.96932,41,102,0,71,1375,1508,1335,0.14533,0.53918,0.00317,0.05676,0.12417
Ego-01-Haverford76-barabasi_albert,50,1253.21632,barabasi_albert,1446,58968,0.05644,3,2,0.3,0.3,10,,81.56017,1.96932,40,209,0,81,1365,1531,1330,0.07474,0.51904,0.0005,0.02931,0.12721
Ego-01-Haverford76-barabasi_albert,50,1253.21632,barabasi_albert,1446,58968,0.05644,3,2,0.3,0.3,10,,81.56017,1.96932,39,648,0,91,1355,1479,1334,0.04083,0.50454,0.00053,0.01735,0.14144
